Maestría en Armas, 4;
Conocimiento Oculto, 2;
Sigilo Táctico, 3;
Voluntad Indomable, 1;
Trampas de Alquimia, 5;
Munición Especializada, 4;
Bombas de Luz UV, 5;
Reflejos Entrenados, 3;
Análisis de Debilidades, 2;
Resistencia a la Hipnosis, 5;
Puntería de Precisión, 4;
Uso de Agua Bendita, 3;
Armadura de Cuero Reforzado, 2;
Primeros Auxilios Avanzados, 3;
Infiltración Urbana, 2;
Conocimiento de Anatomía, 4;
Red de Captura de Acero, 3;
Sentido de Justicia, 1;
Tácticas de Flanqueo, 3;
Lanzallamas Casero, 4;
Equipamiento Tecnológico, 3;
Resistencia al Miedo, 2;
Disfraz Perfecto, 1;
Refugios Seguros, 2;
Uso de Venenos Alquímicos, 4;
