Fragilidad Humana, 4;
Sentimientos y emociones, 2;
Dependencia de Recursos, 5;
Código de Honor, 1;
Fatiga de Combate, 3;
Mortalidad, 5;
Lentitud de Recarga, 3;
Visión Nocturna Limitada, 4;
Hemorragia Excesiva, 2;
Necesidad de Sueño, 2;
Vulnerabilidad al Veneno, 3;
Lentitud de Curación, 4;
Escasez de Munición, 5;
Ruido al Moverse (Equipo), 2;
Dependencia de la Luz, 3;
Trauma Psicológico, 4;
Equipamiento Pesado, 2;
Falta de Poder Mágico, 4;
Inestabilidad Mental, 3;
Envejecimiento, 1;
Traición Humana, 2;
Miedo a lo Desconocido, 1;
Restricciones Legales, 1;
Inexperiencia en el Campo, 5;
Obsesión por la Caza, 1;
