Inmortalidad, 5;
Velocidad Sobrenatural, 4;
Visión Nocturna, 1;
Regeneración Sangrienta, 2;
Hipnosis, 3;
Fuerza Sobrehumana, 4;
Forma de Niebla, 3;
Control de Alimañas, 2;
Agilidad Felina, 3;
Resistencia al Frío, 1;
Reflejos Instantáneos, 4;
Sigilo de Sombras, 5;
Resistencia al Dolor, 2;
Vuelo de Murciélago, 3;
Sentidos Aguzados, 2;
Garra Desgarradora, 3;
Piel de Piedra, 4;
Telepatía Oscura, 2;
Presencia Aterradora, 3;
Caminante de Paredes, 1;
Sangre Ácida, 4;
Manipulación de Sombras, 5;
Encanto Irresistible, 3;
Resistencia Mágica, 4;
Salto Prodigioso, 2;
