Exposición Solar, 5;
Estaca de Madera, 4;
Aversión al Ajo, 2;
Símbolos Sagrados, 3;
Sed de Sangre Insaciable, 1;
Agua Corriente, 3;
Fuego Intenso, 5;
Invitación Requerida, 2;
Vulnerabilidad a la Plata, 4;
Agua Bendita, 3;
Decapitación, 5;
Sangre de Muerto, 2;
Suelo Consagrado, 4;
Ausencia de Reflejo, 1;
Verbena Venenosa, 2;
Sensibilidad al Ruido, 1;
Estupor Diurno, 4;
Vulnerabilidad al Hierro, 2;
Arritmia Cardíaca, 3;
Obsesión por Contar, 1;
Piel Fotosensible, 3;
Aversión a las Rosas Blancas, 1;
Dependencia del Ataúd, 4;
Fragilidad Ósea, 2;
Marca del Cazador, 5;
