Fuerza Bruta, 4;
Olfato Agudo, 1;
Garras Desgarradoras, 3;
Resistencia Física, 2;
Potenciación de luna llena, 5;
Regeneración Acelerada, 4;
Salto de Depredador, 3;
Aullido Aturdidor, 2;
Visión Térmica, 2;
Agilidad en Maleza, 1;
Piel Corícea, 3;
Mordida Infecciosa, 4;
Vigor de Manada, 2;
Velocidad de Caza, 4;
Frenesí de Sangre, 5;
Rastreo de Sangre, 3;
Resistencia al Veneno, 2;
Sentido de Orientación, 1;
Rugido Intimidador, 3;
Salvajismo Desatado, 5;
Reflejos de Cazador, 4;
Sigilo Nocturno, 2;
Corazón Guerrero, 3;
Resistencia al Frío Ártico, 2;
Detección de Miedo, 3;
