Plata Pura, 4;
Acónito (planta tóxica), 3;
Pérdida del Control, 1;
Sonidos de Alta Frecuencia, 2;
Destransformación repentina, 5;
Fuego Devastador, 4;
Aislamiento (Sin Manada), 2;
Incapacidad de Sigilo, 1;
Hambre Voraz, 2;
Trauma Craneal, 5;
Trampas de Acero, 3;
Toxicidad por Mercurio, 4;
Ceguera por Destellos, 1;
Dependencia Lunar, 4;
Vulnerabilidad al Oro, 1;
Olor Identificable, 1;
Desgaste Muscular, 2;
Cansancio Post-Transformación, 3;
Piel Sensible al Calor, 2;
Aversión al Humo, 1;
Instinto Animal Incontrolable, 4;
Lentitud en Forma Humana, 3;
Hechizos de Calma, 2;
Ataduras de Plata, 5;
Miedo al Relámpago, 1;
